id,price,rooms,bathrooms,square_meters,zone,city,price_per_m2
103,310000,5,3,170,Costa Atlántica,Costa Esmeralda,1824
104,320000,6,4,192,Costa Atlántica,Costa Esmeralda,1667
105,330000,5,3,220,Costa Atlántica,Costa Esmeralda,1500
106,334000,4,3,190,Costa Atlántica,Costa Esmeralda,1758
107,340000,6,3,200,Costa Atlántica,Costa Esmeralda,1700
108,390000,6,3,300,Costa Atlántica,Costa Esmeralda,1300
109,400000,5,3,240,Costa Atlántica,Costa Esmeralda,1667
110,420000,5,4,230,Costa Atlántica,Costa Esmeralda,1826
111,450000,5,3,212,Costa Atlántica,Costa Esmeralda,2123
112,470000,7,3,250,Costa Atlántica,Costa Esmeralda,1880
113,480000,5,3,224,Costa Atlántica,Costa Esmeralda,2143
114,490000,5,3,190,Costa Atlántica,Costa Esmeralda,2579
115,550000,5,3,220,Costa Atlántica,Costa Esmeralda,2500
116,599000,6,6,316,Costa Atlántica,Costa Esmeralda,1896
117,600000,6,4,250,Costa Atlántica,Costa Esmeralda,2400
118,600000,6,4,250,Costa Atlántica,Costa Esmeralda,2400
119,660000,4,2,260,Costa Atlántica,Costa Esmeralda,2538
120,800000,5,4,192,Costa Atlántica,Costa Esmeralda,4167
121,32000,1,1,34,Costa Atlántica,Mar de Ajo,941
122,37000,2,1,50,Costa Atlántica,Mar de Ajo,740
123,37000,2,1,37,Costa Atlántica,Mar de Ajo,1000
124,37000,3,1,69,Costa Atlántica,Mar de Ajo,536
125,41500,3,1,36,Costa Atlántica,Mar de Ajo,1153
126,45000,3,2,49,Costa Atlántica,Mar de Ajo,918
127,45000,3,1,50,Costa Atlántica,Mar de Ajo,900
128,50000,4,2,300,Costa Atlántica,Mar de Ajo,167
129,52000,3,2,70,Costa Atlántica,Mar de Ajo,743
130,60000,3,1,67,Costa Atlántica,Mar de Ajo,896
131,64000,3,2,82,Costa Atlántica,Mar de Ajo,780
132,65000,3,2,80,Costa Atlántica,Mar de Ajo,812
133,65000,4,2,70,Costa Atlántica,Mar de Ajo,929
134,65000,4,2,50,Costa Atlántica,Mar de Ajo,1300
135,68000,5,2,70,Costa Atlántica,Mar de Ajo,971
136,70000,2,3,50,Costa Atlántica,Mar de Ajo,1400
137,72000,2,2,60,Costa Atlántica,Mar de Ajo,1200
138,77000,5,2,110,Costa Atlántica,Mar de Ajo,700
139,80000,4,2,52,Costa Atlántica,Mar de Ajo,1538
140,82000,4,1,134,Costa Atlántica,Mar de Ajo,612
141,85000,2,2,150,Costa Atlántica,Mar de Ajo,567
142,85000,3,1,88,Costa Atlántica,Mar de Ajo,966
143,90000,3,2,90,Costa Atlántica,Mar de Ajo,1000
144,98000,4,2,78,Costa Atlántica,Mar de Ajo,1256
145,98000,4,2,78,Costa Atlántica,Mar de Ajo,1256
146,98500,4,2,80,Costa Atlántica,Mar de Ajo,1231
147,99000,3,1,68,Costa Atlántica,Mar de Ajo,1456
148,99000,3,1,50,Costa Atlántica,Mar de Ajo,1980
149,110000,6,4,390,Costa Atlántica,Mar de Ajo,282
150,121500,4,2,90,Costa Atlántica,Mar de Ajo,1350
151,145000,4,3,106,Costa Atlántica,Mar de Ajo,1368
152,150000,8,4,200,Costa Atlántica,Mar de Ajo,750
153,160000,4,2,161,Costa Atlántica,Mar de Ajo,994
154,168000,8,3,270,Costa Atlántica,Mar de Ajo,622
155,175000,3,3,106,Costa Atlántica,Mar de Ajo,1651
156,190000,3,1,300,Costa Atlántica,Mar de Ajo,633
157,210000,7,2,114,Costa Atlántica,Mar de Ajo,1842
158,294000,8,4,210,Costa Atlántica,Mar de Ajo,1400
159,310000,5,3,254,Costa Atlántica,Mar de Ajo,1220
160,380000,5,4,386,Costa Atlántica,Mar de Ajo,984
161,42000,3,1,85,Costa Atlántica,Mar del Plata,494
162,49000,3,1,158,Costa Atlántica,Mar del Plata,310
163,64900,3,2,96,Costa Atlántica,Mar del Plata,676
